Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
PRT062607,1631,HCC1187,749711,BRCA,breast,breast,5.3320393153087506,.98841895696341275,10,.063546883211807625,1.503207560151629,GDSC2
PRT062607,1631,HCC1937,749714,BRCA,breast,breast,4.5077233998883415,.95673545421812634,10,.046477686340880092,.90249174478978689,GDSC2
PRT062607,1631,HCC2157,749715,BRCA,breast,breast,3.4465396173905161,.93292721453604444,10,.072128431222186429,.12915973793798532,GDSC2
PRT062607,1631,HCC38,749717,BRCA,breast,breast,4.9353653323645084,.96535930482377996,10,.021049553480257017,1.2141335162813847,GDSC2
PRT062607,1631,T47D,905945,BRCA,breast,breast,3.5949378881261298,.94115990693863227,10,.081377345747716406,.23730418418195562,GDSC2
PRT062607,1631,MCF7,905946,BRCA,breast,breast,5.6956181135315687,.97264959474708335,10,.053567620129198155,1.7681636651314885,GDSC2
PRT062607,1631,BT-549,905951,BRCA,breast,breast,4.7517469446153973,.95381260479964891,10,.063645400538744956,1.0803225981021829,GDSC2
PRT062607,1631,Hs-578-T,905957,BRCA,breast,breast,2.3733541906292985,.8727952264805936,10,.089218194802784312,-.65291840299238657,GDSC2
PRT062607,1631,MDA-MB-231,905960,BRCA,breast,breast,3.7733011991889844,.95968025777814026,10,.077341481905942033,.36728549332738836,GDSC2
PRT062607,1631,BT-20,906801,BRCA,breast,breast,4.9901237423058875,.99191464257554052,10,.053794722272135234,1.2540384147074659,GDSC2
PRT062607,1631,COLO-824,906812,BRCA,breast,breast,3.043121231842973,.91076741791172511,10,.087655954171117018,-.16482925326395534,GDSC2
PRT062607,1631,CAL-120,906826,BRCA,breast,breast,5.2945306952662419,.92030153220782884,10,.066814315456390994,1.4758733538716962,GDSC2
PRT062607,1631,DU-4475,906844,BRCA,breast,breast,1.5496975379687756,.86042446384188309,10,.10372706606762379,-1.2531537841433464,GDSC2
PRT062607,1631,EFM-19,906851,BRCA,breast,breast,5.7673439237759032,.9823284944890609,10,.14219658969042823,1.8204334657957635,GDSC2
PRT062607,1631,EVSA-T,906862,BRCA,breast,breast,3.1557559169529079,.95874249300602687,10,.064227906170202381,-.082747328800164166,GDSC2
PRT062607,1631,HCC1419,907045,BRCA,breast,breast,3.8215382482700733,.96632984240131914,10,.10200484100263907,.40243798489928412,GDSC2
PRT062607,1631,HCC1569,907046,BRCA,breast,breast,1.0710130580035324,.7746525443259088,10,.086474851203182213,-1.6019925391693555,GDSC2
PRT062607,1631,HCC70,907048,BRCA,breast,breast,4.9747226279484957,.99090385282097682,10,.036215844748339422,1.2428149349764417,GDSC2
PRT062607,1631,MDA-MB-361,908121,BRCA,breast,breast,4.31910595989409,.97461972047549206,10,.073475963689676405,.76503779401919769,GDSC2
PRT062607,1631,MDA-MB-453,908122,BRCA,breast,breast,2.5763318883119366,.88657418184243197,10,.074333888879891341,-.50499949122236587,GDSC2
PRT062607,1631,MDA-MB-468,908123,BRCA,breast,breast,2.587616096444461,.90806006210424761,10,.16741000962331398,-.49677618488770048,GDSC2
PRT062607,1631,MRK-nu-1,908151,BRCA,breast,breast,4.03912152735181,.98861293098602299,10,.11690368960839949,.56100063601105787,GDSC2
PRT062607,1631,OCUB-M,909256,BRCA,breast,breast,4.1781867033620275,.98288366183353193,10,.073188264195016145,.66234363938229612,GDSC2
PRT062607,1631,ZR-75-30,909907,BRCA,breast,breast,5.7600632077324265,.95965487398876104,10,.15599553934118107,1.8151276829124565,GDSC2
PRT062607,1631,AU565,910704,BRCA,breast,breast,4.416065637742542,.97045331528165513,10,.026475431667159873,.83569664076274108,GDSC2
PRT062607,1631,CAL-85-1,910852,BRCA,breast,breast,2.0810530767193396,.85130564030379552,10,.092077077632936086,-.86593127668419578,GDSC2
PRT062607,1631,CAL-51,910927,BRCA,breast,breast,3.3994646472936028,.92528633977501062,10,.074106257545878268,.094854105211630388,GDSC2
PRT062607,1631,MFM-223,910948,BRCA,breast,breast,5.8006935583546175,.96060823510261439,10,.10439919932131345,1.8447368336589867,GDSC2
PRT062607,1631,MDA-MB-415,924240,BRCA,breast,breast,2.7269177934716127,.9289141239452734,10,.097887085240745117,-.39526081809015934,GDSC2
PRT062607,1631,MDA-MB-157,925338,BRCA,breast,breast,5.2213431517980569,.98100191217259314,10,.066179481528819362,1.4225383229371078,GDSC2
PRT062607,1631,BT-474,946359,BRCA,breast,breast,6.0053529224135405,.97122296752713932,10,.09000287445759482,1.9938812508080725,GDSC2
PRT062607,1631,CAMA-1,946382,BRCA,breast,breast,4.796377446658485,.9837818449445086,10,.10164231311546343,1.1128468378060206,GDSC2
PRT062607,1631,MDA-MB-436,1240172,BRCA,breast,breast,5.9439718201196587,.98266350688270787,10,.070414702465158685,1.9491501007447227,GDSC2
PRT062607,1631,EFM-192A,1290798,BRCA,breast,breast,5.7192738305013551,.98293316837622846,10,.070178581316358651,1.7854026423750937,GDSC2
PRT062607,1631,HCC1428,1290905,BRCA,breast,breast,7.0968322312406489,.97371609403833403,10,.065506278587437308,2.7892909604680622,GDSC2
PRT062607,1631,HDQ-P1,1290922,BRCA,breast,breast,3.099030930779771,.90917676298491235,10,.067734426269336206,-.12408535913894063,GDSC2
PRT062607,1631,JIMT-1,1298157,BRCA,breast,breast,4.892554596520962,.98050966241863857,10,.018954475112926118,1.1829354214643262,GDSC2
PRT062607,1631,HCC1500,1303900,BRCA,breast,breast,1.9026653622045286,.85554275279729386,10,.099641459619367045,-.99593036971474513,GDSC2
PRT062607,1631,MDA-MB-330,1330941,BRCA,breast,breast,5.440626527670025,.97335648537915564,10,.070467706312143094,1.582339910493554,GDSC2
Ribociclib,1632,HCC1954,749709,BRCA,breast,breast,4.2546176536851865,.98745656874163035,4,.066217902397446585,.17119245699461874,GDSC2
Ribociclib,1632,HCC1143,749710,BRCA,breast,breast,3.58301805611113,.94970796836461946,4,.097382077183808438,-.50617696741957718,GDSC2
Ribociclib,1632,HCC1187,749711,BRCA,breast,breast,4.0232889372360727,.98399487208668224,4,.084555852111167881,-.06212364396437918,GDSC2
Ribociclib,1632,HCC1395,749712,BRCA,breast,breast,3.1462153955722956,.95517317461022766,4,.12094993739246321,-.94673227421330064,GDSC2
Ribociclib,1632,HCC1599,749713,BRCA,breast,breast,6.1351238127413357,.98781973000135237,4,.042823706335906368,2.067854365620545,GDSC2
Ribociclib,1632,HCC2157,749715,BRCA,breast,breast,3.6329849803673198,.96797580335462996,4,.12633161741453211,-.45578076878363205,GDSC2
Ribociclib,1632,HCC2218,749716,BRCA,breast,breast,3.0741967181778622,.97331694227817067,4,.11648081477605607,-1.0193696763647511,GDSC2
Ribociclib,1632,HCC38,749717,BRCA,breast,breast,4.6424468312189626,.97655653676907617,4,.076574242258631312,.56235354122697923,GDSC2
Ribociclib,1632,T47D,905945,BRCA,breast,breast,3.518966320085517,.96699671911664442,4,.12569277142788945,-.57077898284829442,GDSC2
Ribociclib,1632,MCF7,905946,BRCA,breast,breast,3.0276140538628948,.92793056196594004,4,.12051800122782792,-1.0663525403043468,GDSC2
Ribociclib,1632,BT-549,905951,BRCA,breast,breast,3.9176049778239213,.95602941422653509,4,.070144942864593482,-.16871555232079904,GDSC2
Ribociclib,1632,Hs-578-T,905957,BRCA,breast,breast,4.3037941674931117,.97992559920129785,4,.086229817229332484,.22079145463115013,GDSC2
